,,LISTE,,,,,,,,,Référence      : LI-MES-02,,,,,,,
,,,,,,,,,,,Révision         : K,,,,,,,
,,Carte des délais de livraison par agence ,,,,,,,,,Date  d’application: 23/01/2019,,,,,,,
,,,,,,,,,,,Page : 1/,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mois,,,,,,,,
Zoning,DESTINATION,Agence,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,S1,S2,S3,S4,,,,,
A,AGADIR                                            ,AGADIR,X,X,X,X,X,X,,X,X,X,X,,,,,
A,BEN SERGAO,AGADIR,X,X,X,X,X,X,,X,X,X,X,,,,,
A,ANZA,AGADIR,X,,,X,,,,X,X,X,X,,,,,
C,AOURIR,AGADIR,,,,X,,,,X,X,X,X,,,,,
A,AIT MELLOUL                                       ,AIT MELLOUL,X,X,X,X,X,X,,X,X,X,X,,,,,
B,INZEGANE                                          ,AIT MELLOUL,X,X,X,X,X,X,,X,X,X,X,,,,,
B,OULED TEIMA                                       ,AIT MELLOUL,,X,,X,X,X,,X,X,X,X,,,,,
B,DCHEIRA,AIT MELLOUL,X,X,X,X,X,X,,X,X,X,X,,,,,
B,TIKIOUINE,AIT MELLOUL,X,X,X,X,X,X,,X,X,X,X,,,,,
C,LAAYOUNE                                          ,AIT MELLOUL,,,,X,,,,X,X,X,X,,,,,
B,TIZNIT,AIT MELLOUL,X,,,,,,,X,X,X,X,,,,,
C,GUELMIM                                           ,AIT MELLOUL,,,X,,,,,X,X,X,X,,,,,
B,TAROUDANTE                                        ,AIT MELLOUL,,,,X,,,,X,X,X,X,,,,,
B,BIOUGRA,AIT MELLOUL,,,X,,,,,X,X,X,X,,,,,
B,TANTAN                                           ,AIT MELLOUL,,,X,,,,,X,X,X,X,,,,,
C,AIT BAHA,AIT MELLOUL,,,X,,,,,X,X,X,X,,,,,
C,CHTOUKA AIT-BAHA,AIT MELLOUL,,,X,,,,,X,X,X,X,,,,,
C,KHEMIS AIT AMIRA,AIT MELLOUL,,X,,,,,,X,X,X,X,,,,,
C,MASSA,AIT MELLOUL,X,,,,,,,X,X,X,X,,,,,
C,TARFAYA                                           ,AIT MELLOUL,,,X,,,,,X,X,X,X,,,,,
C,BOUIZAKARNE                                       ,AIT MELLOUL,,,X,,,,,X,X,X,X,,,,,
C,KLEAA,AIT MELLOUL,X,X,X,X,X,X,,X,X,X,X,,,,,
A,BENI MELLAL                                       ,BENI MELLAL,X,X,X,X,X,X,,X,X,X,X,,,,,
